,Modèle,Moteur,Prix,Dpt,Année,Mise en circulation,Contrôle technique,Kilométrage compteur,Énergie,Boîte de vitesse,Couleur extérieure,Nombre de portes,Nombre de places,Garantie,Garantie constructeur,Vérifié & Garanti,Première main (déclaratif),Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Norme Euro
0,CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S SHINE BUSINESS,14890,33,2018,17/11/2018,requis,70 694 Km,Diesel,mécanique,blanc,5,5,12 mois,,SPOTICAR,non,2,5 CV,99 ch,2,95 g/kmA,3.2 l/100km,EURO6
1,CITROEN C4 (3E GENERATION),III 1.5 BLUEHDI 130 S&S SHINE EAT8,30410,69,2023,13/08/2023,non requis,2 603 Km,Diesel,automatique,orange,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,2,120 g/kmB,4.6 l/100km,EURO6
2,CITROEN C3 (3E GENERATION),III (2) PURETECH 83 S&S YOU,14960,33,2022,20/09/2022,non requis,21 248 Km,Essence,mécanique,beige,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,83 ch,1,122 g/kmC,5.7 l/100km,EURO6
3,CITROEN C3 AIRCROSS,1.5 BLUEHDI 120 S&S EAT6 SHINE,23340,13,2021,21/07/2021,non requis,82 131 Km,Diesel,automatique,beige,5,5,12 mois,,SPOTICAR,oui,1,6 CV,120 ch,2,139 g/kmC,5.3 l/100km,EURO6
4,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,18910,13,2021,24/12/2021,non requis,13 654 Km,Essence,mécanique,beige,5,5,12 mois,en cours,SPOTICAR,non,2,4 CV,83 ch,1,123 g/kmC,5.8 l/100km,EURO6
5,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S SHINE EAT8,32080,33,2021,22/02/2021,non requis,32 254 Km,Essence,automatique,gris,5,5,12 mois,,SPOTICAR,oui,1,7 CV,131 ch,1,156 g/kmD,6.8 l/100km,EURO6
6,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S FEEL PACK,19650,80,2022,22/05/2022,non requis,40 010 Km,Diesel,mécanique,blanc,5,5,24 mois,en cours,SPOTICAR,oui,1,5 CV,102 ch,2,111 g/kmB,4.2 l/100km,EURO6
7,CITROEN C4 SPACETOURER,2.0 BLUEHDI 160 S&S SHINE EAT8,27350,75,2019,21/12/2019,non requis,93 623 Km,Diesel,automatique,noir,5,5,12 mois,,,non,,9 CV,163 ch,2,124 g/kmC,4.7 l/100km,EURO6
8,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL,16080,42,2022,18/09/2022,non requis,16 675 Km,Essence,mécanique,blanc,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,83 ch,1,122 g/kmC,5.7 l/100km,EURO6
9,CITROEN C5 AIRCROSS,1.2 PURETECH 130 S&S FEEL EAT8,32920,75,2021,23/02/2021,non requis,30 890 Km,Essence,automatique,gris,5,5,12 mois,,,oui,,7 CV,131 ch,1,154 g/kmD,6.8 l/100km,EURO6
10,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,17630,35,2022,02/01/2023,non requis,15 628 Km,Essence,mécanique,gris,5,5,12 mois,en cours,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.7 l/100km,EURO6
11,CITROEN C4 PICASSO 2,II (2) 1.6 BLUEHDI 100 S&S LIVE,17480,24,2018,11/02/2018,requis,112 873 Km,Diesel,mécanique,blanc,5,5,6 mois,,,oui,1,5 CV,99 ch,2,100 g/kmA,3.5 l/100km,EURO6
12,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S SHINE,19540,80,2021,12/03/2021,non requis,23 227 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,129 g/kmC,5.8 l/100km,EURO6
13,CITROEN GRAND C4 PICASSO 2,II 2.0 BLUEHDI 150 S&S EXCLUSIVE BV6,12180,67,2017,16/02/2017,requis,234 272 Km,Diesel,mécanique,bleu metal,5,7,12 mois,,,non,1,7 CV,150 ch,2,102 g/kmB,4.1 l/100km,EURO6
14,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,37780,69,2023,04/08/2023,non requis,3 758 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
15,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,40320,69,2023,17/11/2023,non requis,5 821 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
16,CITROEN C3 AIRCROSS,(2) 1.5 BLUEHDI 110 S&S C-SERIES BV6,25860,69,2023,20/03/2023,non requis,7 909 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,6 CV,110 ch,2,122 g/kmC,4.6 l/100km,EURO6
17,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 82 S&S GRAPHIC,15800,69,2019,17/10/2019,non requis,34 115 Km,Essence,mécanique,rouge,5,5,8 mois,,SPOTICAR,non,2,4 CV,83 ch,1,108 g/kmB,5 l/100km,EURO6
18,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,37780,69,2023,04/08/2023,non requis,3 758 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
19,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,40320,69,2023,17/11/2023,non requis,5 821 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
20,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,41820,69,2023,03/08/2023,non requis,3 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
21,CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S EAT8 SHINE PACK,37830,69,2023,30/07/2023,non requis,5 243 Km,Diesel,automatique,gris,5,7,12 mois,,SPOTICAR,oui,1,7 CV,130 ch,2,135 g/kmC,5.1 l/100km,EURO6
22,CITROEN C3 (3E GENERATION),III (2) 1.5 BLUEHDI 100 S&S SHINE BV6,24500,69,2023,09/11/2023,non requis,6 699 Km,Diesel,mécanique,gris,5,5,12 mois,,SPOTICAR,oui,1,5 CV,102 ch,2,112 g/kmB,4.2 l/100km,EURO6
23,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 68 FEEL,12640,30,2020,01/03/2020,non requis,34 514 Km,Essence,mécanique,Blanc Banquise,5,5,12 mois,,SPOTICAR,non,,4 CV,68 ch,1,105 g/kmB,4.8 l/100km,EURO6
24,CITROEN JUMPY 3 FOURGON,III TAILLE M BLUEHDI 120 S&S BVM6 CLUB,32250,31,2023,23/11/2023,non requis,5 761 Km,Diesel,mécanique,Blanc,4,3,12 mois,en cours,SPOTICAR,non,,5 CV,120 ch,2,,,EURO6
25,CITROEN C3 (3E GENERATION),III 1.2 PURETECH 68 FEEL,13990,47,2018,04/07/2018,requis,81 728 Km,Essence,mécanique,Gris Aluminium,5,5,12 mois,,SPOTICAR,non,,4 CV,68 ch,1,109 g/kmB,4.7 l/100km,EURO6
26,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK BV6,19780,47,2021,11/07/2021,non requis,22 700 Km,Essence,mécanique,Blanc Banquise (O) - Rouge Aden,5,5,12 mois,,SPOTICAR,non,,6 CV,110 ch,1,125 g/kmC,5.8 l/100km,EURO6
27,CITROEN C4 SPACETOURER,1.6 BLUEHDI 130 S&S BUSINESS + EAT8,16940,47,2020,15/10/2020,non requis,129 453 Km,Diesel,automatique,Gris Acier (M),5,5,12 mois,,SPOTICAR,non,,6 CV,130 ch,2,104 g/kmB,3.9 l/100km,EURO6
28,CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S C-SERIES,19650,42,2023,05/09/2023,non requis,9 104 Km,Essence,mécanique,blanc,5,5,12 mois,,SPOTICAR,oui,1,4 CV,83 ch,1,123 g/kmC,5.3 l/100km,EURO6
